Score type,Year,Score
"Composite score, total",1995,20.8
"Composite score, total",2000,21.0
"Composite score, total",2005,20.9
"Composite score, total",2009,21.1
"Composite score, total",2010,21.0
"Composite score, total",2011,21.1
"Composite score, total",2012,21.1
"Composite score, total",2013,20.9
"Composite score, total",2014,21.0
"Composite score, total",2015,21.0
"Composite score, total",2016,20.8
"Composite score, total",2017,21.0
"Composite score, total",2018,20.8
"Composite score, total",2019,20.7
"Composite score, total",2020,20.6
"Composite score, total",2021,20.3
"Composite score, total",2022,19.8
"Composite score, total",2023,19.5
