State,2011,2012,2013,2014,2015,2016,2017,2018,2011-2018 Change
Alabama,11295,11364,11525,11581,11644,11767,11736,11959,664
Alaska,23014,23598,23552,25566,22023,22030,21409,21764,-1250
Arizona,9723,9708,9472,9611,9775,9946,10112,10381,658
Arkansas,12558,12356,12438,12415,12452,12355,12281,12320,-238
California,12142,11993,12335,13230,14364,15007,15296,16141,3999
Colorado,11318,11261,11525,11765,12098,12164,12365,13101,1783
Connecticut,22197,22437,23469,24083,24670,24613,24334,25014,2817
Delaware,17884,17685,17592,17577,18108,18392,18457,18848,964
District of Columbia,26136,26491,26194,26097,26615,27863,27974,27197,1061
Florida,11220,11170,11421,11539,11541,11577,11671,11817,597
Georgia,12211,11816,11780,11999,12370,12688,12996,13257,1046
Hawaii,15767,15272,15815,16277,17292,17687,18409,19088,3321
Idaho,8726,8758,8389,8774,9070,9330,9476,9517,791
Illinois,15818,16119,16852,17645,18020,19164,19219,19264,3446
Indiana,12626,12204,11984,12066,12185,12132,12118,12131,-495
Iowa,13204,13331,13579,13849,14022,14149,14160,14120,916
Kansas,13197,12968,13060,13079,12849,12878,13400,13404,207
Kentucky,12283,12013,12004,12105,12365,12453,13384,13348,1065
Louisiana,14126,13652,13842,14062,14047,14052,14054,14105,-21
Maine,16244,16443,16921,17697,17863,18072,18201,18560,2316
Maryland,18273,18246,18133,18273,18266,18442,18304,18430,157
Massachusetts,19548,19846,20262,20829,21364,21882,22136,22714,3166
Michigan,13797,13621,13582,13872,13899,13901,14117,14261,464
Minnesota,14197,14333,14574,15099,15550,15605,15592,15734,1537
Mississippi,10664,10514,10541,10693,10933,10812,10760,10949,285
Missouri,12529,12568,12675,12955,13061,13195,13327,13429,900
Montana,13919,13811,13955,14027,14305,14250,13904,14180,261
Nebraska,15134,15211,15149,15414,15569,15637,15475,15082,-52
Nevada,10707,10397,10554,10700,11010,11263,10919,10981,274
New Hampshire,18139,18200,18622,18953,19538,19709,20035,20656,2517
New Jersey,23681,23994,23953,23500,23948,24188,24538,25237,1556
New Mexico,11870,11870,11993,12312,12526,12287,12033,12384,514
New York,25543,25298,25707,26266,27961,28233,28511,29442,3899
North Carolina,10745,10806,10569,10800,10964,11109,11246,11595,850
North Dakota,14810,15045,15793,16314,16801,17002,16647,16605,1795
Ohio,14911,14606,14584,14852,15009,15523,15573,15895,984
Oklahoma,10223,10251,10197,10225,10176,9783,9872,10890,667
Oregon,12491,12399,12702,13241,13613,13896,14376,14740,2249
Pennsylvania,17240,17416,17632,18240,19074,19491,19780,19987,2747
Rhode Island,19981,19287,19606,20002,20227,20525,20477,20753,772
South Carolina,11987,12233,12254,12448,12729,12875,12929,13009,1022
South Dakota,11317,11179,11525,11527,11741,12495,12396,12217,900
Tennessee,10994,11124,11048,11112,11164,11419,11594,11763,769
Texas,10816,10731,10971,11499,11762,11757,11658,11677,861
Utah,8312,8332,8349,8548,8812,8900,9150,9407,1095
Vermont,21929,22391,23042,23765,23925,24059,24421,25106,3177
Virginia,14033,14197,13973,14226,14382,14679,14764,14959,926
Washington,12648,12584,13143,13528,14444,14784,15684,16970,4322
West Virginia,15248,14591,14503,14577,14369,14505,13976,14518,-730
Wisconsin,14793,14489,14470,14609,14670,14948,15032,15016,223
Wyoming,21055,20486,20284,20320,20666,20394,19487,19202,-1853
